genes,C1,C2,T1,T2
233651,3.28,15.26,12.5,15.9
233724,28.62,26.58,22.64,26.21
233726,0.86,1.89,1.35,1.35
233733,5,3.94,4.39,3.38
233744,127.22,32.41,38.86,33.99
233752,0.86,0.69,1.18,1.69
233789,8.62,7.54,5.74,3.55
233799,0,0.34,1.01,0.68
233802,16.89,26.23,33.96,21.31
233805,9.48,11.83,10.98,7.1
233806,4.14,2.57,4.06,3.38
233812,11.55,15.43,14.7,10.99
233813,0,0.51,0.34,0
233824,33.62,12.17,12.33,10.15
233826,1.21,2.23,2.37,1.69
233833,92.4,92.25,100.36,110.44
233863,28.62,86.59,113.54,82.7
233865,12.41,15.77,12,17.08
233870,15.86,26.23,39.71,32.81
233871,31.55,49.55,35.48,24.35
233875,19.82,24.69,20.44,28.24
233876,17.24,66.53,78.06,68.16
233877,5.17,7.37,5.58,5.92
233878,1.21,0.69,1.52,0
233887,6.03,32.58,24.84,14.04
233890,6.03,22.46,18.92,16.24
233895,11.72,16.63,13.52,7.78
233899,0.34,0.51,0.51,0
233900,11.21,12.86,10.14,14.71
233902,17.24,12,11.83,8.96
233904,13.27,21.78,21.8,16.57
233905,3.45,10.63,10.64,9.13
233908,155.5,476.84,519.9,571.3
233912,5.69,7.2,7.1,7.1
233913,5,9.26,4.9,7.1
233977,34.82,28.29,28.55,30.61
233979,5.69,2.4,1.18,1.35
233987,1.03,0.34,0,0.34
234023,30.51,58.13,69.95,35.18
234069,17.24,55.73,44.78,37.04
234072,0,0.86,0.51,1.18
234076,1.21,0.34,1.35,0.34
234086,4.14,9.94,6.93,7.44
234094,9.48,6.34,6.25,4.9
234130,0,0.34,0.34,0
234135,25.51,15.26,11.49,9.64
234138,12.93,10.63,11.83,13.19
234159,0,0.51,0.34,0
234203,0.34,0,0,0
234214,84.64,16.46,12,31.63
234219,0,0,1.01,0
234258,1.03,3.6,6.25,2.2
234267,0,6.69,14.02,4.23
234309,14.83,13.72,11.83,16.07
234311,11.38,0,0,0.34
234329,0.34,0.86,0.84,0
234344,37.24,62.07,80.93,51.08
234353,19.65,13.2,13.35,21.99
234356,22.07,1.54,1.01,1.01
234358,0.69,0,1.18,0
234362,13.96,21.09,21.97,19.45
234366,29.48,43.38,38.86,32.81
234371,6.38,14.4,11.32,11.33
234373,14.83,23.49,21.8,19.45
234374,25.34,36.52,26.19,28.58
234378,16.03,17.66,19.09,15.39
234384,11.72,2.4,4.9,5.41
234388,33.44,41.67,41.4,43.13
