Type,Sample,Count ,Log10(Number of mutations)
PANCREAS,case99,5455,3.736794755
PANCREAS,case100,5154,3.712144414
PANCREAS,case101,4695,3.671635597
PANCREAS,case102,5209,3.716754357
PANCREAS,case103,4736,3.675411694
PANCREAS,case104,6768,3.83046035
PANCREAS,case105,7628,3.882410684
PANCREAS,case106,5874,3.768933942
PANCREAS,case107,4590,3.661812686
PANCREAS,case108,6460,3.810232518
PANCREAS,case109,4420,3.645422269
PANCREAS,case110,7069,3.849357982
PANCREAS,case111,5040,3.702430536
PANCREAS,case112,4566,3.659535907
PANCREAS,case113,7465,3.873029812
PANCREAS,case114,5846,3.766858811
PANCREAS,case115,4867,3.687261346
PANCREAS,case116,5416,3.733678656
PANCREAS,case117,4988,3.697926445
PANCREAS,case118,6297,3.799133693
PANCREAS,case119,6397,3.805976351
PANCREAS,case120,12730,4.104828404
PANCREAS,case121,4918,3.691788524
PANCREAS,case122,5409,3.733116981
PANCREAS,case123,7290,3.862727528
PANCREAS,case124,5656,3.752509401
PANCREAS,case125,11011,4.041826763
PANCREAS,case126,6275,3.79761373
PANCREAS,case127,4854,3.686099772
PANCREAS,case128,6041,3.781108836
PANCREAS,case129,7686,3.88570038
PANCREAS,case130,7056,3.848558572
PANCREAS,case131,13719,4.137322456
PANCREAS,case132,5575,3.746244872
PANCREAS,case133,5840,3.766412847
PANCREAS,case134,5613,3.749195042
PANCREAS,case135,5699,3.755798657
PANCREAS,case136,9288,3.967922207
PANCREAS,case137,4622,3.664829941
PANCREAS,case138,8215,3.914607568
PANCREAS,case139,7328,3.864985461
PANCREAS,case140,5423,3.734239604
PANCREAS,case141,5909,3.77151399
PANCREAS,case142,5476,3.738463439
PANCREAS,case143,7758,3.889749775
PANCREAS,case144,6037,3.780821176
PANCREAS,case145,4965,3.695919253
PANCREAS,case146,5381,3.730862992
PANCREAS,case147,8109,3.9089673
PANCREAS,case148,4563,3.659250469
PANCREAS,case149,5602,3.748343104
PANCREAS,case150,5457,3.736953954
PANCREAS,case151,4802,3.681422156
PANCREAS,case152,5364,3.729488769
PANCREAS,case153,7086,3.850401148
PANCREAS,case154,15647,4.194431083
PANCREAS,case155,5412,3.733357788
PANCREAS,case156,6563,3.817102404
PANCREAS,case157,4691,3.671265433
PANCREAS,case158,4719,3.673849977
PANCREAS,case159,4759,3.677515705
PANCREAS,case160,5134,3.710455864
PANCREAS,case161,6285,3.798305282
PANCREAS,case162,4336,3.637089274
PANCREAS,case163,5728,3.758003009
PANCREAS,case164,12998,4.113876533
PANCREAS,case165,4604,3.663135315
PANCREAS,case166,22126,4.344902908
PANCREAS,case167,6648,3.822691011
PANCREAS,case168,5254,3.720490068
PANCREAS,case169,23390,4.369030222
PANCREAS,case170,5189,3.715083671
PANCREAS,case171,7424,3.870637963
PANCREAS,case172,4435,3.646893624
PANCREAS,case173,6733,3.828208614
PANCREAS,case174,6593,3.819083076
PANCREAS,case175,7669,3.884738738
PANCREAS,case176,5068,3.704836606
PANCREAS,case177,5598,3.748032894
PANCREAS,case178,6864,3.836577275
PANCREAS,case179,5738,3.758760544
PANCREAS,case180,5047,3.703033305
PANCREAS,case181,6281,3.798028793
PANCREAS,case182,5395,3.731991449
PANCREAS,case183,4851,3.685831275
PANCREAS,case184,10546,4.023087767
