a,c,b,d,p,OR,X
2,66291,173,1945016,0.110632696,0.339197389,MANBA
3,66291,44,1945016,0.235849397,2.000493691,MANBAL
2,66291,7,1945016,0.001471147,8.383021182,MANF
2,66291,39,1945016,0.570417255,1.504644827,MANSC1
3,66291,94,1945016,0.910776766,0.936401302,MAOA
1,66291,105,1945016,0.174888046,0.279434039,MAOB
1,66291,7,1945016,0.144790286,4.191510591,MAP10
9,66291,107,1945016,0.007100828,2.467898759,MAP1B
4,66291,10,1945016,1.18E-07,11.73622965,MAP1LC3B
1,66291,8,1945016,0.189098788,3.667571767,MAP1LC3C
6,66291,70,1945016,0.024732603,2.514906354,MAP1S
7,66291,491,1945016,0.018142091,0.418297391,MAP2
2,66291,150,1945016,0.171498107,0.391207655,MAP2K1
2,66291,30,1945016,0.349267698,1.956038276,MAP2K3
6,66291,184,1945016,0.915138037,0.956757852,MAP2K4
2,66291,367,1945016,0.003045671,0.159894137,MAP2K5
4,66291,190,1945016,0.335672955,0.617696298,MAP2K6
1,66291,120,1945016,0.128125267,0.244504784,MAP3K10
3,66291,37,1945016,0.136409302,2.37896547,MAP3K11
3,66291,22,1945016,0.01478271,4.000987382,MAP3K12
8,66291,4,1945016,9.58E-35,58.68114827,MAP3K13
15,66291,263,1945016,0.049901725,1.673416776,MAP3K14
2,66291,91,1945016,0.536120245,0.644847783,MAP3K14-AS1
9,66291,29,1945016,1.93E-12,9.105695421,MAP3K1
2,66291,83,1945016,0.626287179,0.707001786,MAP3K3
4,66291,244,1945016,0.137668067,0.480993019,MAP3K4
3,66291,316,1945016,0.018451918,0.278549754,MAP3K5
1,66291,109,1945016,0.160862285,0.269179579,MAP3K7CL
11,66291,68,1945016,1.22E-07,4.746269345,MAP3K8
7,66291,134,1945016,0.26709651,1.532716559,MAP3K9
5,66291,248,1945016,0.239726353,0.591543833,MAP4
2,66291,71,1945016,0.790104136,0.826495046,MAP4K1
8,66291,294,1945016,0.528913034,0.79838297,MAP4K3
36,66291,482,1945016,3.21E-06,2.191412176,MAP4K4
8,66291,196,1945016,0.616717108,1.197574455,MAP4K5
27,66291,263,1945016,9.70E-09,3.012150196,MAP7
3,66291,59,1945016,0.496232368,1.4918936,MAP7D1
4,66291,94,1945016,0.663077981,1.24853507,MAP7D2
3,66291,45,1945016,0.251643848,1.956038276,MAP7D3
1,66291,42,1945016,0.721538288,0.698585098,MAP9
2,66291,194,1945016,0.074360892,0.302480146,MAPK10
3,66291,126,1945016,0.537036996,0.698585098,MAPK11
3,66291,24,1945016,0.022931024,3.667571767,MAPK12
3,66291,18,1945016,0.00478973,4.890095689,MAPK1
3,66291,119,1945016,0.604621894,0.73967834,MAPK14
1,66291,22,1945016,0.777505229,1.333662461,MAPK1IP1L
3,66291,40,1945016,0.176392385,2.20054306,MAPK6
1,66291,12,1945016,0.374605296,2.445047845,MAPK7
5,66291,261,1945016,0.195758953,0.562079964,MAPK8
1,66291,39,1945016,0.777976073,0.752322414,MAPK8IP1
6,66291,198,1945016,0.776572323,0.889108307,MAPK8IP3
1,66291,71,1945016,0.364735875,0.413247523,MAPK9
16,66291,326,1945016,0.152185498,1.440028178,MAPKAP1
29,66291,104,1945016,6.22E-33,8.181506249,MAPKAPK2
1,66291,45,1945016,0.669929341,0.652012759,MAPKAPK3
1,66291,99,1945016,0.198441939,0.296369436,MAPKBP1
11,66291,294,1945016,0.76124068,1.097776583,MAPRE2
10,66291,114,1945016,0.002938261,2.573734573,MAPRE3
1,66291,220,1945016,0.017899784,0.133366246,MAPT
3,66291,108,1945016,0.726287704,0.815015948,MAPT-AS1
1,66291,56,1945016,0.514470812,0.523938824,MARC1
1,66291,62,1945016,0.447477389,0.473235067,MARC2
1,66291,275,1945016,0.006336119,0.106692997,MARK1
9,66291,68,1945016,3.71E-05,3.883311283,MARK2
4,66291,174,1945016,0.433218098,0.674495957,MARK3
2,66291,2,1945016,1.68E-07,29.34057414,MARS2
2,66291,6,1945016,0.000584937,9.780191378,MARVELD1
2,66291,42,1945016,0.64246336,1.397170197,MAST1
7,66291,443,1945016,0.038657601,0.46362081,MAST2
2,66291,86,1945016,0.590835374,0.682338933,MAST3
14,66291,712,1945016,0.039043956,0.576921402,MAST4
2,66291,45,1945016,0.712566653,1.304025517,MASTL
11,66291,11,1945016,1.32E-34,29.34057414,MAT2A
6,66291,16,1945016,3.00E-10,11.0027153,MAT2B
1,66291,189,1945016,0.032488026,0.155241133,MATN2
2,66291,43,1945016,0.666068732,1.364677867,MATN3
1,66291,66,1945016,0.408339556,0.444554154,MATR3
2,66291,49,1945016,0.802382044,1.197574455,MAX
1,66291,19,1945016,0.669476538,1.544240744,MB
21,66291,196,1945016,1.40E-07,3.143632943,MB21D2
1,66291,29,1945016,0.990841086,1.011743936,MBD1
7,66291,120,1945016,0.161909496,1.711533491,MBD2
1,66291,13,1945016,0.420102945,2.256967241,MBD3
